reference_year,sido_code,sido_name,sigungu_code,sigungu_name,admin_dong_code,admin_dong_name,full_name
2025,21,부산광역시,21150,사상구,21150570,괘법동,부산광역시 사상구 괘법동
2025,21,부산광역시,21150,사상구,21150600,주례1동,부산광역시 사상구 주례1동
2025,21,부산광역시,21150,사상구,21150610,주례2동,부산광역시 사상구 주례2동
2025,21,부산광역시,21150,사상구,21150620,주례3동,부산광역시 사상구 주례3동
2025,21,부산광역시,21150,사상구,21150630,학장동,부산광역시 사상구 학장동
2025,21,부산광역시,21150,사상구,21150640,엄궁동,부산광역시 사상구 엄궁동
2025,21,부산광역시,21150,사상구,21150650,감전동,부산광역시 사상구 감전동
2025,21,부산광역시,21510,기장군,21510110,기장읍,부산광역시 기장군 기장읍
2025,21,부산광역시,21510,기장군,21510111,일광읍,부산광역시 기장군 일광읍
2025,21,부산광역시,21510,기장군,21510120,장안읍,부산광역시 기장군 장안읍
2025,21,부산광역시,21510,기장군,21510130,정관읍,부산광역시 기장군 정관읍
2025,21,부산광역시,21510,기장군,21510330,철마면,부산광역시 기장군 철마면
