admin_dong_code,sigungu_name,admin_dong_name,major_category,major_category_label,major_category_weight,category,category_label,category_score_0_100,triggered_indicator_count,triggered_indicators,policy_review_status,category_confidence
21010560,중구,부평동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,47.804878,0,,monitor,medium_low
21120510,강서구,대저1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,47.317073,0,,monitor,medium_low
21080610,북구,만덕3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,46.829268,0,,monitor,medium_low
21090690,해운대구,좌4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,46.341463,0,,monitor,medium_low
21100560,사하구,하단1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,45.853659,0,,monitor,medium_low
21100520,사하구,괴정2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,45.365854,0,,monitor,medium_low
21100620,사하구,다대1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,44.878049,0,,monitor,low
21090650,해운대구,재송2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,44.390244,0,,monitor,medium_low
21090560,해운대구,송정동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,43.902439,0,,monitor,medium_low
21060640,동래구,명장2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,43.414634,0,,monitor,medium_low
21140530,수영구,수영동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,42.926829,0,,monitor,medium_low
21140580,수영구,광안3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,42.439024,0,,monitor,medium_low
21020640,서구,충무동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,41.95122,0,,monitor,medium_low
21140560,수영구,광안1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,41.463415,0,,monitor,medium_low
21020610,서구,아미동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,40.97561,0,,monitor,medium_low
21110520,금정구,서2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,40.487805,0,,monitor,medium_low
21110610,금정구,장전1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,40.0,0,,monitor,low
21100630,사하구,다대2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,39.512195,0,,monitor,low
21080550,북구,화명1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,39.02439,0,,monitor,medium_low
21140590,수영구,광안4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,38.536585,0,,monitor,medium_low
21120590,강서구,명지1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,38.04878,0,,monitor,medium_low
21090740,해운대구,우2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,37.560976,0,,monitor,medium_low
21080620,북구,화명2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,37.073171,0,,monitor,medium_low
21100510,사하구,괴정1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,36.585366,0,,monitor,medium_low
21140570,수영구,광안2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,36.097561,0,,monitor,medium_low
21090710,해운대구,반여4동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,35.609756,0,,monitor,medium_low
