admin_dong_code,sigungu_name,admin_dong_name,category,category_label,major_category,major_category_label,major_category_weight,indicator,indicator_label,raw_or_derived_value,deprivation_percentile_0_100,within_category_weight,weighted_score,evidence_type,value_status_ko,estimate_used,estimation_method_ko,estimation_reason,confidence_level,quality_note,indicator_policy_triggered
21030700,동구,좌천동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,137.65749,80.0,1.0,80.0,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21030710,동구,범일1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,177.41779,88.780488,1.0,88.780488,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,medium_low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21040530,영도구,남항동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,161.214715,87.317073,1.0,87.317073,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21040540,영도구,영선1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,108.658744,68.780488,1.0,68.780488,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21040550,영도구,영선2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,115.843271,72.682927,1.0,72.682927,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21040590,영도구,봉래1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,144.468819,81.95122,1.0,81.95122,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21040630,영도구,청학1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,126.052065,77.073171,1.0,77.073171,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21040640,영도구,청학2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,94.363683,59.02439,1.0,59.02439,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21040650,영도구,동삼1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,94.222581,58.536585,1.0,58.536585,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21040660,영도구,동삼2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,97.627916,60.97561,1.0,60.97561,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
